,features,f1_score_macro,f1_score_micro,f1_score_weighted,balanced_accuracy_score,neg_log_loss,roc_auc_score ovr,roc_auc_score ovo
0,"ups,score,body_length,count",0.4429,0.6345,0.6987,0.6068,-1.0515,0.7838,0.7873
1,+TF-IDF+pol_and_sub,0.509,0.7135,0.7629,0.6574,-0.8013,0.8654,0.8577
2,+LDA,0.547,0.7514,0.7905,0.6674,-0.7302,0.8852,0.876
3,GS_RF,0.5504,0.8671,0.8551,0.5653,-0.316,0.9523,0.9201
4,GS_LogReg,0.5733,0.7753,0.8073,0.6842,-0.6952,0.9001,0.8888
0,RandomOverSampler,0.5781,0.7837,0.8063,0.6399,-0.7583,0.8988,0.8849
0,SMOTE,0.5836,0.7872,0.8123,0.6592,-0.7157,0.9051,0.8878
0,ADASYN,0.5858,0.79,0.8122,0.6497,-0.7157,0.9072,0.8894
0,RandomUnderSampler,0.5555,0.7681,0.798,0.652,-0.7142,0.8913,0.8763
0,NearMiss,0.2705,0.2607,0.2812,0.338,-9.313,0.5017,0.4808
0,NearMiss,0.4783,0.636,0.6886,0.5913,-1.2688,0.8572,0.8376
0,TomekLinks,0.5673,0.7705,0.8043,0.6847,-0.7353,0.8976,0.8869
0,EditedNearestNeighbours,0.5109,0.7326,0.7735,0.682,-1.0196,0.8897,0.8817
